iso3,country,indicator,year,value
AFE,Africa Eastern and Southern,NY.GDP.PCAP.KD,2024,1432.50843496815
AFE,Africa Eastern and Southern,NY.GDP.PCAP.KD,2023,1428.54623843676
AFE,Africa Eastern and Southern,NY.GDP.PCAP.KD,2022,1437.09139374966
AFW,Africa Western and Central,NY.GDP.PCAP.KD,2024,1820.07044608507
AFW,Africa Western and Central,NY.GDP.PCAP.KD,2023,1782.32607004266
AFW,Africa Western and Central,NY.GDP.PCAP.KD,2022,1761.05945140847
ARB,Arab World,NY.GDP.PCAP.KD,2024,6311.25329101256
ARB,Arab World,NY.GDP.PCAP.KD,2023,6322.02558331114
ARB,Arab World,NY.GDP.PCAP.KD,2022,6361.38084442534
CSS,Caribbean small states,NY.GDP.PCAP.KD,2024,18643.3738062746
CSS,Caribbean small states,NY.GDP.PCAP.KD,2023,16520.5066629775
CSS,Caribbean small states,NY.GDP.PCAP.KD,2022,15259.8516050593
CEB,Central Europe and the Baltics,NY.GDP.PCAP.KD,2024,16862.8261090388
CEB,Central Europe and the Baltics,NY.GDP.PCAP.KD,2023,16496.6728779092
CEB,Central Europe and the Baltics,NY.GDP.PCAP.KD,2022,16396.9966397292
EAR,Early-demographic dividend,NY.GDP.PCAP.KD,2024,3884.38931770884
EAR,Early-demographic dividend,NY.GDP.PCAP.KD,2023,3783.31364991383
EAR,Early-demographic dividend,NY.GDP.PCAP.KD,2022,3676.37654127034
EAS,East Asia & Pacific,NY.GDP.PCAP.KD,2024,13295.329301063
EAS,East Asia & Pacific,NY.GDP.PCAP.KD,2023,12838.6681574645
EAS,East Asia & Pacific,NY.GDP.PCAP.KD,2022,12361.4385727479
EAP,East Asia & Pacific (excluding high income),NY.GDP.PCAP.KD,2024,10127.9180882519
EAP,East Asia & Pacific (excluding high income),NY.GDP.PCAP.KD,2023,9666.08432645256
EAP,East Asia & Pacific (excluding high income),NY.GDP.PCAP.KD,2022,9200.1190748992
TEA,East Asia & Pacific (IDA & IBRD countries),NY.GDP.PCAP.KD,2024,10241.9890248099
TEA,East Asia & Pacific (IDA & IBRD countries),NY.GDP.PCAP.KD,2023,9774.78042985959
TEA,East Asia & Pacific (IDA & IBRD countries),NY.GDP.PCAP.KD,2022,9303.40405088781
EMU,Euro area,NY.GDP.PCAP.KD,2024,37747.5762546902
EMU,Euro area,NY.GDP.PCAP.KD,2023,37542.8850711276
EMU,Euro area,NY.GDP.PCAP.KD,2022,37533.5524037551
ECS,Europe & Central Asia,NY.GDP.PCAP.KD,2024,26049.7447851247
ECS,Europe & Central Asia,NY.GDP.PCAP.KD,2023,25741.0380070691
ECS,Europe & Central Asia,NY.GDP.PCAP.KD,2022,25489.1529254156
ECA,Europe & Central Asia (excluding high income),NY.GDP.PCAP.KD,2024,8719.2497368167
ECA,Europe & Central Asia (excluding high income),NY.GDP.PCAP.KD,2023,8435.75381106955
ECA,Europe & Central Asia (excluding high income),NY.GDP.PCAP.KD,2022,7972.62807689424
TEC,Europe & Central Asia (IDA & IBRD countries),NY.GDP.PCAP.KD,2024,10509.1101785927
TEC,Europe & Central Asia (IDA & IBRD countries),NY.GDP.PCAP.KD,2023,10132.3013270566
TEC,Europe & Central Asia (IDA & IBRD countries),NY.GDP.PCAP.KD,2022,9708.77674684136
EUU,European Union,NY.GDP.PCAP.KD,2024,34899.3225839678
EUU,European Union,NY.GDP.PCAP.KD,2023,34626.5282460477
EUU,European Union,NY.GDP.PCAP.KD,2022,34606.1111714906
HPC,Heavily indebted poor countries (HIPC),NY.GDP.PCAP.KD,2024,1016.27398761692
HPC,Heavily indebted poor countries (HIPC),NY.GDP.PCAP.KD,2023,992.174917021435
HPC,Heavily indebted poor countries (HIPC),NY.GDP.PCAP.KD,2022,983.847120090035
,High income,NY.GDP.PCAP.KD,2024,42026.5401511337
,High income,NY.GDP.PCAP.KD,2023,41501.2948730887
,High income,NY.GDP.PCAP.KD,2022,41064.1952230136
IBD,IBRD only,NY.GDP.PCAP.KD,2024,7516.23109692996
IBD,IBRD only,NY.GDP.PCAP.KD,2023,7237.59788175414
IBD,IBRD only,NY.GDP.PCAP.KD,2022,6950.42582854395
IBT,IDA & IBRD total,NY.GDP.PCAP.KD,2024,5825.50541967732
IBT,IDA & IBRD total,NY.GDP.PCAP.KD,2023,5634.16482692317
IBT,IDA & IBRD total,NY.GDP.PCAP.KD,2022,5440.77771363889
IDB,IDA blend,NY.GDP.PCAP.KD,2024,2107.6638668718
IDB,IDA blend,NY.GDP.PCAP.KD,2023,2062.62356419287
IDB,IDA blend,NY.GDP.PCAP.KD,2022,2043.42372895199
IDX,IDA only,NY.GDP.PCAP.KD,2024,1173.2818683549
IDX,IDA only,NY.GDP.PCAP.KD,2023,1147.16316787956
IDX,IDA only,NY.GDP.PCAP.KD,2022,1135.34471641403
IDA,IDA total,NY.GDP.PCAP.KD,2024,1498.37807376176
IDA,IDA total,NY.GDP.PCAP.KD,2023,1466.40467616719
IDA,IDA total,NY.GDP.PCAP.KD,2022,1452.67025448891
LTE,Late-demographic dividend,NY.GDP.PCAP.KD,2024,11918.0405122553
LTE,Late-demographic dividend,NY.GDP.PCAP.KD,2023,11414.6924038042
LTE,Late-demographic dividend,NY.GDP.PCAP.KD,2022,10941.9407766362
